Sol,Local Mission Solar Time,SCLK,UTC,Solar longitude (deg),Solar azimuth (deg),Solar elevation (deg),Sun distance (AU),Season
109,0109:12:00:27,676615006,2021-06-10 16:39:33,57.03,"2,28","87,72","1,6608",Spring
72,0072:12:12:09,673331069,2021-05-03 16:26:50,40.17,"2,71","87,29","1,6418",Spring
744,0744:12:10:58,732987491,2023-03-25 03:48:21,41.74,"2,19","87,81","1,6442",Spring
677,0677:12:35:04,727041082,2023-01-15 08:00:46,9.79,"14,50","75,50","1,5812",Spring
123,0123:11:56:42,677857619,2021-06-25 01:49:55,63.33,"3,71","86,29","1,6644",Spring
96,0096:12:04:17,675461174,2021-05-28 08:08:51,51.15,"0,71","89,29","1,6557",Spring
835,0835:11:47:38,741064536,2023-06-26 15:26:50,82.82,"6,33","83,67","1,6624",Spring
724,0724:12:18:03,731212436,2023-03-04 14:43:53,32.45,"5,44","84,56","1,6292",Spring
834,0834:11:47:48,740975771,2023-06-25 14:47:25,82.37,"6,31","83,69","1,6626",Spring
815,0815:11:51:22,739289275,2023-06-06 02:18:55,73.83,"5,48","84,52","1,6657",Spring
682,0682:12:33:20,727484848,2023-01-20 11:16:55,12.27,"13,46","76,54","1,5870",Spring
88,0088:12:06:48,674751132,2021-05-20 02:54:44,47.51,"0,35","89,65","1,6517",Spring
695,0695:12:28:41,728638630,2023-02-02 19:46:47,18.63,"10,83","79,17","1,6014",Spring
839,0839:11:46:58,741419593,2023-06-30 18:04:30,84.62,"6,43","83,57","1,6612",Spring
787,0787:11:57:53,736803989,2023-05-08 07:57:10,61.27,"3,27","86,73","1,6634",Spring
138,0138:11:53:09,679189018,2021-07-10 11:40:05,70.06,"4,94","85,06","1,6659",Spring
68,0068:12:13:32,672976057,2021-04-29 13:49:54,38.32,"3,34","86,66","1,6390",Spring
172,0172:11:46:43,682206956,2021-08-14 09:59:26,85.34,"6,46","83,54","1,6608",Spring
126,0126:11:55:58,678123897,2021-06-28 03:47:55,64.68,"3,98","86,02","1,6649",Spring
763,0763:12:04:46,734673825,2023-04-13 16:14:09,50.42,"0,51","89,49","1,6550",Spring
108,0108:12:00:44,676526249,2021-06-09 16:00:15,56.58,"2,16","87,84","1,6604",Spring
767,0767:12:03:32,735028847,2023-04-17 18:51:14,52.24,"1,02","88,98","1,6568",Spring
832,0832:11:48:09,740798244,2023-06-23 13:28:36,81.46,"6,25","83,75","1,6631",Spring
171,0171:11:46:53,682118192,2021-08-13 09:20:01,84.89,"6,44","83,56","1,6611",Spring
736,0736:12:13:45,732277466,2023-03-16 22:34:31,38.04,"3,44","86,56","1,6386",Spring
139,0139:11:52:56,679277779,2021-07-11 12:19:27,70.51,"5,01","84,99","1,6659",Spring
696,0696:12:28:19,728727382,2023-02-03 20:25:59,19.12,"10,64","79,36","1,6025",Spring
703,0703:12:25:45,729348646,2023-02-11 01:00:28,22.49,"9,28","80,72","1,6097",Spring
120,0120:11:57:28,677591342,2021-06-21 23:51:56,61.98,"3,43","86,57","1,6638",Spring
816,0816:11:51:10,739378037,2023-06-07 02:58:18,74.28,"5,54","84,46","1,6657",Spring
791,0791:11:56:51,737159024,2023-05-12 10:34:28,63.06,"3,65","86,35","1,6643",Spring
895,0895:11:39:07,746390483,2023-08-27 06:53:20,110.31,"4,88","85,12","1,6282",Summer
225,0225:11:39:17,686911548,2021-10-07 20:49:56,109.64,"4,99","85,01","1,6295",Summer
964,0964:11:28:54,752515297,2023-11-06 04:14:21,144.16,"4,22","85,78","1,5527",Summer
973,0973:11:27:27,753314178,2023-11-15 10:09:09,148.85,"5,93","84,07","1,5410",Summer
239,0239:11:37:24,688154276,2021-10-22 06:02:13,116.25,"3,80","86,20","1,6170",Summer
1008,1008:11:22:22,756420974,2023-12-21 09:09:29,167.76,"13,47","76,53","1,4940",Summer
198,0198:11:42:53,684514858,2021-09-10 03:04:46,97.15,"6,34","83,66","1,6488",Summer
240,0240:11:37:16,688243042,2021-10-23 06:41:40,116.73,"3,70","86,30","1,6161",Summer
918,0918:11:35:58,748432103,2023-09-19 22:00:36,121.24,"2,69","87,31","1,6066",Summer
307,0307:11:27:00,694190304,2021-12-31 02:43:29,150.19,"6,43","83,57","1,5378",Summer
265,0265:11:33:40,690462184,2021-11-17 23:07:39,128.83,"0,72","89,28","1,5898",Summer
1011,1011:11:22:01,756687276,2023-12-24 11:07:54,169.43,"14,17","75,83","1,4900",Summer
881,0881:11:40:57,745147753,2023-08-12 21:40:59,103.78,"5,77","84,23","1,6392",Summer
947,0947:11:31:37,751006297,2023-10-19 17:04:10,135.51,"1,29","88,71","1,5739",Summer
302,0302:11:27:48,693746480,2021-12-25 23:26:22,147.57,"5,45","84,55","1,5443",Summer
309,0309:11:26:40,694367832,2022-01-02 04:02:19,151.25,"6,83","83,17","1,5351",Summer
967,0967:11:28:25,752781591,2023-11-09 06:12:37,145.72,"4,77","85,23","1,5488",Summer
965,0965:11:28:44,752604061,2023-11-07 04:53:46,144.68,"4,40","85,60","1,5514",Summer
322,0322:11:24:40,695521778,2022-01-15 12:34:53,158.19,"9,55","80,45","1,5178",Summer
1026,1026:11:20:37,758018808,2024-01-08 21:00:16,177.95,"17,78","72,22","1,4710",Summer
323,0323:11:24:31,695610543,2022-01-16 13:14:19,158.73,"9,77","80,23","1,5165",Summer
893,0893:11:39:22,746212949,2023-08-25 05:34:24,109.37,"5,03","84,97","1,6299",Summer
913,0913:11:36:40,747988274,2023-09-14 18:43:23,118.84,"3,25","86,75","1,6116",Summer
216,0216:11:40:29,686112651,2021-09-28 14:54:53,105.44,"5,58","84,42","1,6367",Summer
855,0855:11:44:30,742839833,2023-07-17 04:35:22,91.86,"6,53","83,47","1,6549",Summer
891,0891:11:39:38,746035417,2023-08-23 04:15:30,108.43,"5,17","84,83","1,6315",Summer
330,0330:11:23:32,696231904,2022-01-23 17:50:26,162.54,"11,31","78,69","1,5071",Summer
995,0995:11:24:05,755267011,2023-12-08 00:36:37,160.6,"10,52","79,48","1,5117",Summer
